name,division,tier
Brooker Quigg,1,gold
Dan Cran,1,gold
Danny Durrance,1,gold
Derek Britain,1,gold
El Arct,1,gold
Fire Queso,1,gold
Franco Sanchez,1,gold
Guy Manperson,1,gold
Ian Kreigar,1,gold
Jacob Hall,1,gold
Jeremy Mercer,1,gold
Joel Moffatt,1,gold
Jon Laz,1,gold
Kelvin Lau,1,gold
Kevin Blanchette,1,gold
Max Simons,1,gold
Mr Sir,1,gold
Noah Macomber,1,gold
Peter O'Brien,1,gold
Thiago Dinarte,1,gold
Andrew Riffe,1,silver
Bryan Anderson,1,silver
Douglas Mitchell,1,silver
Ein Byron,1,silver
Ethan Marvin,1,silver
Jack Krouse,1,silver
Jakub Boosterski,1,silver
Jason Allen,1,silver
Juan Caro,1,silver
Kurt Lemay,1,silver
Logan Nagel,1,silver
Logan Schaeffer,1,silver
Martin G Smith,1,silver
Matthew Higgs,1,silver
Michael McWeezerson,1,silver
Pauleh Hartman,1,silver
Phillipe Enis Müller,1,silver
Selena Boonstra,1,silver
Thomas Olhausen,1,silver
Turboshid Hyperdookie,1,silver
Tyler Egeli,1,silver
Wilder Vargas,1,silver
Zodi Fade,1,silver
Barry Jerry,2,gold
Beardedx Badass,2,gold
Caleb Tenney,2,gold
Chandler James,2,gold
Christian Duerksen,2,gold
Crimson Bat,2,gold
Curtis Lee,2,gold
Gordon Beverly III,2,gold
Hunter Gale,2,gold
Jess Osborn,2,gold
Justin MacKechnie,2,gold
Loukas Klentzeris,2,gold
Matt Artim,2,gold
Mike Geno,2,gold
Neil Kerbal,2,gold
Pablo Ferrer,2,gold
Pat Cockcroft,2,gold
Sean Curcio,2,gold
Sean Leitch,2,gold
Sean Williams,2,gold
Travis Tatro,2,gold
Trey Morgan,2,gold
Christian Holmes,2,silver
Christian Lorenzo,2,silver
Claudio Pozzi,2,silver
Daniel Builes,2,silver
DJ Watts,2,silver
Dylan Bonsell,2,silver
Jacob Hart,2,silver
James Tedder,2,silver
Jason Yaron,2,silver
Jay Ruzic,2,silver
Jeremy Yaron,2,silver
Jon Baham,2,silver
Juicy Jake,2,silver
Kasra Arabi,2,silver
Mack Morgan,2,silver
Mike Ferro,2,silver
Pots Weaver,2,silver
Raul Herran,2,silver
Roger Rodriguez,2,silver
Shane Lewis,2,silver
Spencer Taft,2,silver
Steeve Foster,2,silver
Ty Jackson,2,silver
Tyrell Foster,2,silver
Valter Giovagnoli,2,silver
Zack Sky,2,silver
Cezary Penkiewicz,3,gold
Craig Mar,3,gold
Daniel Alyra,3,gold
Diego Hernández,3,gold
Jackson Thomas,3,gold
Jan Rodricks,3,gold
Jaroslaw Koval,3,gold
John Ansom,3,gold
Josh Parker,3,gold
Juan Herran,3,gold
Lawson Leatherwood,3,gold
Mark Kaszuba,3,gold
Matt Matasy,3,gold
Raf CAB,3,gold
RD Thomson,3,gold
Scott Johnston,3,gold
Sergio Lindo,3,gold
Steven Music,3,gold
Thomas Greer,3,gold
Tony Zsigmond,3,gold
Travis Fletcher,3,gold
Tyler Thompson,3,gold
Aidan Springer,3,silver
Andrew Duongbongleo,3,silver
Blake Citro,3,silver
Brad Garman,3,silver
Chris Mek,3,silver
Chris Reaper,3,silver
Cliff Hemeon,3,silver
Cory Mummery,3,silver
Dalton Parsons,3,silver
Danny Scarbro,3,silver
Ian Demler,3,silver
Jacob L.Charron,3,silver
John Donahue,3,silver
Luis Galvez,3,silver
Mark Allen,3,silver
Mathieu Beaudin,3,silver
Peter Jacob,3,silver
Rowan Baham,3,silver
Sascha Dickhaus,3,silver
Sean Paul,3,silver
Stephen Sarver,3,silver
Tmar Novak,3,silver
Zander Ady,3,silver
Alan Leung,4,gold
Allen Pena,4,gold
Brent Burton,4,gold
Colton McCroan,4,gold
Dan Meyer,4,gold
Danyel Roberts,4,gold
Dario Ferrer,4,gold
Don Draper,4,gold
DryBones Malone,4,gold
Emil Garcia,4,gold
Ian Gilchrist,4,gold
Ivan Ramirez,4,gold
Jermaine Rose,4,gold
Joey Vanwinkle,4,gold
Lenu Gold,4,gold
Lewis Isip,4,gold
Mateo Diamond,4,gold
Neil Leeder,4,gold
Paulo Reis,4,gold
prodigy don,4,gold
Ramon Lorenzo,4,gold
Stephen Pellerin,4,gold
Alex Velazquez,4,silver
Bruce McLaren,4,silver
Bryan Hemeon,4,silver
Chesney Kelley,4,silver
Colby Cann,4,silver
CONG PHAM,4,silver
Conner Waitkus,4,silver
Conor Farrell,4,silver
Deni Savard,4,silver
Hussain Ahmed,4,silver
Ilana Gross,4,silver
Jason Skelonc,4,silver
Jason Whitwam,4,silver
Joe Reynolds,4,silver
Joshua Hooker,4,silver
Julien Bacon,4,silver
Justin Muntean,4,silver
Max Yang,4,silver
Mike B,4,silver
Omar Knight,4,silver
Quinn Jetter,4,silver
